cell_id,cell_family,chemistry_type,temperature_deg_c,actual_temperature_mean_deg_c,discharge_capacity_ah,charge_capacity_ah,discharge_capacity_retention_vs_25c,charge_capacity_retention_vs_25c,discharge_usable_energy_wh,discharge_usable_energy_retention_vs_25c,discharge_mean_ocv_v,ocv_slope_charge_ocv_slope_penalty_v,ocv_slope_charge_ocv_slope_penalty_vs_25c,ocv_slope_charge_mean_abs_dv_dcapacity_fraction_v,ocv_slope_discharge_ocv_slope_penalty_v,ocv_slope_discharge_ocv_slope_penalty_vs_25c,ocv_slope_discharge_mean_abs_dv_dcapacity_fraction_v,pulse_1c_charge_median_r_fast_mohm,pulse_1c_charge_median_r_100ms_mohm,pulse_1c_charge_median_r_1s_mohm,pulse_1c_charge_median_r_10s_mohm,pulse_1c_charge_median_polarization_1s_mohm,pulse_1c_charge_median_polarization_10s_mohm,pulse_1c_charge_median_relaxation_end_mohm,pulse_1c_discharge_median_r_fast_mohm,pulse_1c_discharge_median_r_100ms_mohm,pulse_1c_discharge_median_r_1s_mohm,pulse_1c_discharge_median_r_10s_mohm,pulse_1c_discharge_median_polarization_1s_mohm,pulse_1c_discharge_median_polarization_10s_mohm,pulse_1c_discharge_median_relaxation_end_mohm,eis_series_resistance_mohm,eis_low_freq_zre_mohm,eis_arc_width_zre_mohm,eis_low_freq_to_pulse_r_1s_ratio,entropy_charge_mean_abs_dudt_mv_per_k,entropy_charge_max_abs_dudt_mv_per_k,entropy_charge_mean_ehs_v_at_25c,entropy_discharge_mean_abs_dudt_mv_per_k,entropy_discharge_max_abs_dudt_mv_per_k,entropy_discharge_mean_ehs_v_at_25c,bol_thermal_charge_mean_temperature_rise_max_k,bol_thermal_charge_median_temperature_rise_max_k,bol_thermal_charge_mean_abs_current_a,bol_thermal_discharge_mean_temperature_rise_max_k,bol_thermal_discharge_median_temperature_rise_max_k,bol_thermal_discharge_mean_abs_current_a
TC23LFP09,LFP,lithium-ion,5.0,5.683979587510265,1.7178332243021444,0.4271811017188225,0.956335840001904,0.2387733479154808,5.540024427291062,0.9481986451413128,3.1934046384358603,0.0899438247802242,1.2825058047039588,0.1171188705946086,0.1041670666845312,1.103556276180959,0.1771815441210404,132.4936933051954,177.1244863475499,208.4041874541494,260.34629274702604,78.5807125360979,127.08967990263888,250.6190686224119,130.2049346876403,168.4780649034482,188.94973920492112,217.3049154113103,60.7792566217696,88.6258198020396,209.167106993334,,,,,0.1239074614213737,0.5370068932418484,0.0369430096227825,0.1534159634151616,0.7936548906724253,0.0457409694922303,1.3836200000000003,1.3836200000000003,0.3605959916260451,2.028109999999998,2.028109999999998,0.3638442145871073
TC23LFP09,LFP,lithium-ion,15.0,15.567373894034164,1.7792773973046407,1.6104330130201208,0.9905424579496012,0.900153308667508,5.77300720248217,0.9880746338985492,3.211749207931819,0.0649149205408169,0.925619547633456,0.1130025681114572,0.1052350928472425,1.1148710516901417,0.1783715161844118,102.7398312769661,122.9571990653793,139.868582183993,171.9112028297842,37.128750907026806,70.18859760505602,166.1893062858866,100.5782259159473,116.3452297257735,127.7890228135623,150.6766089891198,27.8465631802634,51.369915638482894,143.0474135972696,,,,,0.1239074614213737,0.5370068932418484,0.0369430096227825,0.1534159634151616,0.7936548906724253,0.0457409694922303,1.3836200000000003,1.3836200000000003,0.3605959916260451,2.028109999999998,2.028109999999998,0.3638442145871073
TC23LFP09,LFP,lithium-ion,25.0,25.518895622060004,1.796265655273073,1.789065259787842,1.0,1.0,5.842683340330459,1.0,3.216324905581123,0.0701313198352236,1.0,0.1201988900230967,0.0943921655223771,1.0,0.1606568417771545,71.20582365730719,78.83501904915741,87.6085937497954,110.2418734122934,15.767003809833,39.54466278111171,105.0285898945212,69.679984578937,76.1648006620131,83.15822977121461,102.8669845335027,13.8597049618736,33.0598466980359,96.76362822001548,20.425700000000003,69.82979999999999,49.5599,0.8397220598865095,0.1239074614213737,0.5370068932418484,0.0369430096227825,0.1534159634151616,0.7936548906724253,0.0457409694922303,1.3836200000000003,1.3836200000000003,0.3605959916260451,2.028109999999998,2.028109999999998,0.3638442145871073
TC23LFP09,LFP,lithium-ion,35.0,35.3390774812547,1.7940554023822126,1.7929765582066202,0.998769528947808,1.002186224564688,5.842993854596824,1.0000531458318511,3.21975259175192,0.0729445799229232,1.0401141757250465,0.1256089578343264,0.0893759503927154,0.9468577174609633,0.1526358374215415,50.606996099298,53.150061229919295,58.1090382346253,75.02042135323241,7.6291953918502,23.9048122278087,69.5528313224073,50.352689586238505,52.768601460323296,57.346118695433496,73.2402757617963,6.9934291091950005,22.760432919027803,68.0269922440306,,,,,0.1239074614213737,0.5370068932418484,0.0369430096227825,0.1534159634151616,0.7936548906724253,0.0457409694922303,1.3836200000000003,1.3836200000000003,0.3605959916260451,2.028109999999998,2.028109999999998,0.3638442145871073
TC23LFP09,LFP,lithium-ion,45.0,45.26069671587335,1.800766462936664,1.8003779939068705,1.002505647007378,1.006323265211896,5.866736137070725,1.004116738036141,3.2185954979041207,0.0742416067608918,1.058608435365618,0.1277927234194938,0.089595361792962,0.9491821836815688,0.152850795185409,40.18042906376721,41.4519616290776,45.1394060684731,58.36334474768471,4.8318237481764,17.928609170858394,53.7858275125745,40.1804290637603,41.3248083725413,44.8850995554136,58.236191491155,4.7046704916467,18.31006894044729,53.5315209995085,,,,,0.1239074614213737,0.5370068932418484,0.0369430096227825,0.1534159634151616,0.7936548906724253,0.0457409694922303,1.3836200000000003,1.3836200000000003,0.3605959916260451,2.028109999999998,2.028109999999998,0.3638442145871073
TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,1.5017328206469986,1.435758307353432,0.9841020247123428,0.962903609049112,3.649523522113874,0.986051448611386,2.421708022551259,0.1449017840796903,0.8756300766781139,0.2470054633760439,0.1664078927693476,0.9276414046843808,0.2822206311009099,28.739289387083,30.1381043572528,32.6814043030118,41.2014591213037,4.0692799132154,11.826344747779295,37.6408391972427,28.739288626721105,30.1381035598818,32.6814034383524,41.0742930373047,4.3236097933986,12.462169404506202,37.7680031952926,,,,,0.2935831171124021,0.6314965135562375,0.0875318063670626,0.3269709381796774,0.6985509550675274,0.0974863852182707,0.49939,0.49939,0.3659725891488207,2.400734999999999,2.400734999999999,0.3666447767849575
TC23LTO09,LTO,lithium-ion,15.0,15.811795773665091,1.5138675542450344,1.4702553175356583,0.9920540490265128,0.9860393244656576,3.676462725712013,0.993330053769408,2.41621086225918,0.157967458020878,0.9545849159689922,0.2688494552475157,0.1739425715410532,0.9696434989559458,0.2950599902926027,24.7971744711613,25.1786694630222,27.4676394142004,34.4617142650358,2.7976299403326,9.028714807446402,31.6640843247094,24.6700088211672,25.0515038029348,27.5948036814116,34.2073833654357,2.7976298663218,8.7743845807268,31.7912484808877,,,,,0.2935831171124021,0.6314965135562375,0.0875318063670626,0.3269709381796774,0.6985509550675274,0.0974863852182707,0.49939,0.49939,0.3659725891488207,2.400734999999999,2.400734999999999,0.3666447767849575
TC23LTO09,LTO,lithium-ion,25.0,25.67092164773927,1.5259930199675806,1.49107168553587,1.0,1.0,3.701149191812803,1.0,2.4092040720256884,0.1654828767753222,1.0,0.2825276513314823,0.179388168670593,1.0,0.3036786109394285,21.8723795335346,22.6353695172633,24.5428444765808,30.2652693545398,2.4161349484719,8.1385598264313,28.4849593925093,21.9995439487744,22.6353689183936,24.7971738150962,30.1381035598818,2.5432998784702,8.2657246050298,28.6121236327985,13.5336,18.3195,6.050800000000001,0.7387737060925597,0.2935831171124021,0.6314965135562375,0.0875318063670626,0.3269709381796774,0.6985509550675274,0.0974863852182707,0.49939,0.49939,0.3659725891488207,2.400734999999999,2.400734999999999,0.3666447767849575
TC23LTO09,LTO,lithium-ion,35.0,35.53747302880697,1.525720775990997,1.4953812763887957,0.9998215955295854,1.002890264026023,3.6970207026716144,0.998884538577823,2.406924185652074,0.179521763438748,1.0848358871745174,0.3021747862126998,0.1866367630859131,1.040407315984314,0.3156283495390667,20.7278945579387,21.2365545470931,23.0168645091236,27.7219694087809,2.2889699511849,7.1212398481292,26.323154438611,20.7278940095361,21.1093889913103,23.0168639001613,27.467638687482506,2.2889698906186,6.739744677946399,25.941658760405694,,,,,0.2935831171124021,0.6314965135562375,0.0875318063670626,0.3269709381796774,0.6985509550675274,0.0974863852182707,0.49939,0.49939,0.3659725891488207,2.400734999999999,2.400734999999999,0.3666447767849575
TC23LTO09,LTO,lithium-ion,45.0,45.44496576605653,1.5354646618184038,1.508600144110325,1.0062068710189935,1.0117556109102532,3.7152517546933153,1.0038103200248474,2.4008111835427406,0.1839377582945885,1.1115213965268602,0.3136621934155062,0.1924547217908634,1.0728395479874944,0.3229133405301034,19.9649045742105,20.473564563365,22.2538745253958,26.450319435898,2.1618049538982,6.612579858974503,24.7971744711544,19.8377390520718,20.473564021691,22.253873936619502,25.941658760405694,2.1618048966957,6.485414690101301,24.7971738150897,,,,,0.2935831171124021,0.6314965135562375,0.0875318063670626,0.3269709381796774,0.6985509550675274,0.0974863852182707,0.49939,0.49939,0.3659725891488207,2.400734999999999,2.400734999999999,0.3666447767849575
