cell_family,chemistry_type,temperature_deg_c,pulse_direction,abs_c_rate,pulse_count,complete_1s_count,complete_10s_count,median_actual_temperature_deg_c,median_r_fast_mohm,median_r_100ms_mohm,median_r_1s_mohm,median_r_10s_mohm,median_r_end_mohm,median_polarization_1s_mohm,median_polarization_10s_mohm,median_polarization_end_mohm,median_relaxation_end_mohm
LFP,lithium-ion,5.0,charge,1.0,21,21,16,5.549514051896207,132.4936933051954,177.1244863475499,208.4041874541494,260.34629274702604,258.24826401426895,78.5807125360979,127.08967990263889,125.62741745253689,250.6190686224119
LFP,lithium-ion,5.0,charge,2.0,21,2,2,5.565749900199601,119.5851239199519,143.4915862697409,210.2479068924099,261.74497510615436,149.6584820908148,78.64428812395336,130.14135633769786,30.3254141997957,149.40417710850159
LFP,lithium-ion,5.0,charge,3.0,21,2,0,5.54385,109.6478320238609,126.8931092233461,179.0103814326327,,128.8427027518275,58.57519525037415,,19.8349950288986,128.7155553477972
LFP,lithium-ion,5.0,discharge,1.0,21,21,21,5.544949940119761,130.2049346876403,168.4780649034482,188.94973920492112,217.3049154113103,217.3049154113103,60.7792566217696,88.6258198020396,88.6258198020395,209.167106993334
LFP,lithium-ion,5.0,discharge,2.0,21,21,19,5.5408997105788425,116.5995346963028,135.35463978649682,150.2315706037996,166.88864698898522,168.5416393020204,34.5221086914365,52.25998774283659,52.514294252535,159.83164134488152
LFP,lithium-ion,5.0,discharge,3.0,21,21,19,5.559912105263158,105.7491231495475,117.998219979297,130.41685448142658,141.3520343501987,143.7255617635734,25.006806676646402,37.34067234258718,37.8492853597389,135.2910625624696
LFP,lithium-ion,15.0,charge,1.0,21,21,21,15.472932335329338,102.7398312769661,122.9571990653793,139.868582183993,171.9112028297842,171.9112028297842,37.128750907026806,70.18859760505602,70.1885976050559,166.1893062858866
LFP,lithium-ion,15.0,charge,2.0,21,21,5,15.47722,95.2375018779844,108.0799420511185,123.97405117628591,153.2832487201714,135.1000294387145,28.8001474521087,55.820278878602,39.8624557449738,133.4470408432276
LFP,lithium-ion,15.0,charge,3.0,21,2,2,15.48034,88.9643600379124,99.0902102084796,143.83152407734465,182.82518906958205,101.2143956835243,43.698335442387645,82.6920004346251,12.037102549198,101.08724192010179
LFP,lithium-ion,15.0,discharge,1.0,21,21,21,15.474452574850298,100.5782259159473,116.3452297257735,127.7890228135623,150.6766089891198,150.6766089891198,27.8465631802634,51.369915638482894,51.3699156384829,143.0474135972696
