member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,n_points,freq_min_hz,freq_max_hz,voltage_mean_v,temperature_mean_deg_c,series_resistance_high_freq_ohm,series_resistance_min_abs_zim_ohm,freq_at_min_abs_zim_hz,low_freq_zabs_ohm,low_freq_zre_ohm,low_freq_zim_ohm,arc_width_zre_ohm,min_zim_ohm,characteristic_freq_min_zim_hz
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EIS.csv,20231113_TC23LFP04_3187mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,32,0.05,10000.0,3.18778,25.2672,0.0204257,0.0210939,2070.1,0.0688854070562118,0.0667969,-0.0168337,0.048965,-0.0168337,0.05
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EIS.csv,20231113_TC23LFP04_3214mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,32,0.05,10000.0,3.21427,25.666,0.0204316,0.0210966,2070.1,0.0704217784475797,0.0692886,-0.0125824,0.048989300000000006,-0.0125824,0.05
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EIS.csv,20231113_TC23LFP04_3246mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,32,0.05,10000.0,3.24626,25.758,0.0203619,0.021073,2070.1,0.0679727073318401,0.0667499,-0.0128351,0.048432600000000006,-0.0128351,0.05
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3271mV_27gradC_EIS.csv,20231113_TC23LFP04_3271mV_27gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,27.0,3.271,32,0.05,10000.0,3.27176,27.1384,0.0203199,0.0211265,2070.1,0.0754230795012375,0.0743439,-0.0127132,0.054117500000000006,-0.0132041,18.35
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3279mV_26gradC_EIS.csv,20231113_TC23LFP04_3279mV_26gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,26.0,3.279,32,0.05,10000.0,3.27952,26.709,0.0204626,0.0212859,2070.1,0.0740909351867689,0.0730673,-0.0122734,0.0527009,-0.0132818,18.35
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3287mV_25gradC_EIS.csv,20231113_TC23LFP04_3287mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.287,32,0.05,10000.0,3.28776,25.6967,0.0203705,0.0211957,2070.1,0.0707374034867692,0.0698298,-0.0112951,0.0495599,-0.0120481,27.25
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3297mV_25gradC_EIS.csv,20231113_TC23LFP04_3297mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.297,32,0.05,10000.0,3.29794,25.9421,0.0203546,0.0211999,2070.1,0.070135480336061,0.0692769,-0.0109406,0.04901,-0.0118776,27.25
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3316mV_25gradC_EIS.csv,20231113_TC23LFP04_3316mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.316,32,0.05,10000.0,3.31618,25.9114,0.0206616,0.0214878,2070.1,0.0745117763136136,0.073301,-0.0133779,0.05274340000000001,-0.0133779,0.05
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3321mV_24gradC_EIS.csv,20231113_TC23LFP04_3321mV_24gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,24.0,3.321,32,0.05,10000.0,3.32114,24.6844,0.0206555,0.0215211,2070.1,0.0723805259326015,0.0714388,-0.0116378,0.0508729,-0.0119423,27.25
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3455mV_25gradC_EIS.csv,20231113_TC23LFP04_3455mV_25gradC_EIS.csv,TC23LFP04,LFP,lithium-ion,25.0,3.455,32,0.05,10000.0,3.45553,25.3899,0.0198255,0.0206536,2070.1,0.1014742663891195,0.0884711,-0.049698,0.0687657,-0.049698,0.05
