member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,n_points,tau_min_s,tau_max_s,gamma_max,tau_at_gamma_max_s,gamma_integral_logtau
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3187mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3187mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.187,320,3.1622776601683795e-05,63.24555320336759,0.0527104479005015,18.523113046055595,0.11379833071391551
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3214mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3214mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.214,320,3.1622776601683795e-05,63.24555320336759,0.0278294714962114,17.699521767533188,0.08928970765122947
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3246mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3246mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.246,320,3.1622776601683795e-05,63.24555320336759,0.038952035276428,18.523113046055595,0.09596885780190861
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3271mV_27gradC_EISDRT.csv,20231113_TC23LFP04_3271mV_27gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,27.0,3.271,320,3.1622776601683795e-05,63.24555320336759,0.0264683187185306,17.699521767533188,0.09345312491026034
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3279mV_26gradC_EISDRT.csv,20231113_TC23LFP04_3279mV_26gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,26.0,3.279,320,3.1622776601683795e-05,63.24555320336759,0.0302262485677578,17.699521767533188,0.09455424922221842
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3287mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3287mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.287,320,3.1622776601683795e-05,63.24555320336759,0.0225844355960803,10.7320981463083,0.08315638092064118
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3297mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3297mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.297,320,3.1622776601683795e-05,63.24555320336759,0.0220127506374108,10.7320981463083,0.08164509123607813
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3316mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3316mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.316,320,3.1622776601683795e-05,63.24555320336759,0.0312150572951438,17.699521767533188,0.09701479283256581
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3321mV_24gradC_EISDRT.csv,20231113_TC23LFP04_3321mV_24gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,24.0,3.321,320,3.1622776601683795e-05,63.24555320336759,0.0221879649842963,10.254917965440798,0.08408815631268932
raw_EIS_plotting/TC23LFP04/auxiliary/20231113_TC23LFP04_3455mV_25gradC_EISDRT.csv,20231113_TC23LFP04_3455mV_25gradC_EISDRT.csv,TC23LFP04,LFP,lithium-ion,25.0,3.455,320,3.1622776601683795e-05,63.24555320336759,0.1034095208714869,10.254917965440798,0.2275118333356473
